Klaster_Pogodowy,Średnia temperatura [°C],Suma opadów [mm],Dni upalne [liczba],Dni mroźne [liczba]
0,9.670548643860569,671.6733333333333,3.5999999999999996,18.2
1,10.52270813683659,648.41,8.6,10.45
2,10.215279287371809,785.3533333333334,7.6000000000000005,16.266666666666666
