id,wojewodztwo,rok,Plon [dt/ha],Nawożenie ogółem [kg/ha],Nawożenie N [kg/ha],Nawożenie P [kg/ha],Nawożenie K [kg/ha],cena_pszenicy_dt,Cena pszenicy [zł/t],Średnia temperatura [°C],Suma opadów [mm],Dni upalne [liczba],Dni mroźne [liczba],Cena K [zł/kg],Cena N [zł/kg],Cena P [zł/kg],Koszt N [zł/ha],Koszt P [zł/ha],Koszt K [zł/ha],Koszt nawożenia NPK [zł/ha],Przychód [zł/ha],Zysk brutto [zł/ha],Efektywność N [kg plonu/kg N],Wskaźnik opłacalności [%]
11200000000,MAŁOPOLSKIE,2016,39.4,77.5,38.4,15.0,24.1,58.3,583.0,9.720218579234972,803.2,3,16,0.5811244979919679,0.4477913548672286,1.1531600407747198,17.195188026901576,17.297400611620798,14.005100401606427,48.497689040128805,2297.02,2248.522310959871,10.260416666666668,4636.349392028473
12400000000,ŚLĄSKIE,2016,47.3,123.0,66.7,22.3,34.0,61.4,614.0,9.635245901639344,824.7,3,17,0.519277108433735,0.37812194120804515,0.9403669724770642,25.220733478576612,20.970183486238533,17.65542168674699,63.846338651562135,2904.22,2840.3736613484375,7.091454272863568,4448.765146658793
20800000000,LUBUSKIE,2016,45.8,108.5,63.6,16.1,28.9,62.34,623.4000000000001,10.191530054644808,569.2,4,14,0.5261044176706827,0.39510909033500674,0.9766819571865443,25.128938145306428,15.724579510703364,15.20441767068273,56.05793532669252,2855.1720000000005,2799.114064673308,7.20125786163522,4993.2521566495925
23000000000,WIELKOPOLSKIE,2016,46.3,163.1,87.5,26.3,49.3,63.59,635.9000000000001,9.892896174863388,599.1,3,15,0.5299196787148595,0.3966057276372706,1.1005988786952088,34.703001168261174,28.945750509683993,26.12504016064257,89.77379183858774,2944.2170000000006,2854.4432081614127,5.291428571428572,3179.5952356492517
23200000000,ZACHODNIOPOMORSKIE,2016,48.2,131.9,77.8,20.6,33.4,64.37,643.7,9.91775956284153,531.6,3,15,0.584136546184739,0.46329607527390987,1.2652905198776758,36.04443465631019,26.064984709480125,19.51016064257028,81.6195800083606,3102.6340000000005,3021.01441999164,6.195372750642674,3701.335414470628
30200000000,DOLNOŚLĄSKIE,2016,52.7,165.0,92.2,27.6,45.2,59.89,598.9,10.15054644808743,748.1,4,15,0.41907630522088357,0.3499984212686685,0.9461009174311927,32.26985444097124,26.11238532110092,18.942248995983938,77.3244887580561,3156.203,3078.8785112419437,5.7158351409978305,3981.763812077152
31600000000,OPOLSKIE,2016,59.6,203.2,115.1,34.3,53.8,59.9,599.0,10.048633879781422,825.3,3,14,0.2771084337349398,0.25946449433235447,0.8543577981651376,29.864363297654,29.304472477064216,14.908433734939761,74.07726950965798,3570.0400000000004,3495.9627304903424,5.178105994787142,4719.346101214691
40400000000,KUJAWSKO-POMORSKIE,2016,43.0,179.3,101.5,29.9,47.9,64.63,646.3,9.745081967213114,602.4,4,17,0.4602409638554217,0.2987891130687379,0.8884429153924567,30.327094976476896,26.564443170234455,22.045542168674697,78.93708031538605,2779.0899999999997,2700.1529196846136,4.236453201970443,3420.6394623368305
42200000000,POMORSKIE,2016,48.3,142.4,83.8,22.1,36.5,63.96,639.6,9.524043715846997,597.2,2,16,0.4417670682730924,0.40127245745319057,1.2162334352701327,33.62663193457737,26.878758919469934,16.124497991967875,76.62988884601518,3089.268,3012.638111153985,5.763723150357995,3931.41391240664
42800000000,WARMIŃSKO-MAZURSKIE,2016,42.1,104.8,65.5,15.3,24.1,63.21,632.1,8.652459016393443,735.1,2,26,0.357429718875502,0.39076126424805024,0.9174311926605504,25.594862808247292,14.036697247706421,8.614056224899599,48.24561628085331,2661.141,2612.8953837191466,6.427480916030534,5415.819270519085
11200000000,MAŁOPOLSKIE,2017,41.1,93.7,47.2,17.6,28.9,63.96,639.6,9.397260273972602,848.1,10,24,0.5690763052208836,0.4379874332986012,1.1531600407747198,20.673006851693977,20.29561671763507,16.446305220883534,57.414928790212585,2628.7560000000003,2571.3410712097875,8.707627118644067,4478.523487515183
12400000000,ŚLĄSKIE,2017,48.2,124.2,68.7,20.9,34.6,65.92,659.2,9.034246575342468,932.6,7,34,0.3172690763052209,0.3473303653184301,0.8266437308868502,23.861596097376147,17.276853975535168,10.977510040160643,52.11596011307196,3177.3440000000005,3125.2280398869284,7.016011644832605,5996.68131049752
20800000000,LUBUSKIE,2017,48.3,103.2,60.2,15.0,28.0,65.76,657.6,9.904383561643836,759.9,3,20,0.5160642570281124,0.43458526727921437,0.9476936799184505,26.162033090208705,14.215405198776757,14.449799196787147,54.827237485772606,3176.208,3121.3807625142276,8.023255813953488,5693.120619699671
23000000000,WIELKOPOLSKIE,2017,50.5,163.6,88.9,28.1,46.5,67.22,672.2,9.49945205479452,825.1,1,19,0.4885542168674699,0.34204003662656685,0.8817533129459736,30.407359256101795,24.77726809378186,22.71777108433735,77.902398434221,3394.6100000000006,3316.7076015657794,5.680539932508436,4257.516672437667
23200000000,ZACHODNIOPOMORSKIE,2017,52.0,134.5,79.4,20.3,34.8,66.19,661.9,9.4613698630137,919.0,0,13,0.52570281124498,0.4360629598055003,1.0617354740061162,34.623399008556724,21.55323012232416,18.294457831325303,74.47108696220619,3441.88,3367.408913037794,6.54911838790932,4521.766836499569
30200000000,DOLNOŚLĄSKIE,2017,53.8,174.4,101.5,26.6,46.2,64.4,644.0,9.996164383561643,816.4,5,17,0.4640562248995984,0.3370054624104069,0.8670998980632008,34.2060544346563,23.064857288481143,21.439397590361448,78.7103093134989,3464.72,3386.009690686501,5.300492610837439,4301.863021780549
31600000000,OPOLSKIE,2017,62.9,190.2,109.4,31.2,49.6,64.05,640.5,9.72027397260274,880.1,7,24,0.5150602409638554,0.3525543872943702,1.3277268093781858,38.5694499700041,41.42507645259939,25.54698795180723,105.54151437441071,4028.745,3923.203485625589,5.749542961608775,3717.2135617724257
40400000000,KUJAWSKO-POMORSKIE,2017,50.2,201.4,116.7,32.7,52.0,70.09,700.9000000000001,9.305205479452056,847.9,1,23,0.41907630522088357,0.3499984212686685,0.9461009174311927,40.844815762053614,30.937500000000004,21.791967871485944,93.57428363353955,3518.518000000001,3424.9437163664616,4.301628106255356,3660.1335146517426
42200000000,POMORSKIE,2017,54.4,136.2,81.4,19.8,35.0,68.65,686.5,9.01068493150685,852.8,0,19,0.3433734939759036,0.3950996179470177,1.2162334352701327,32.16110890088724,24.08142201834863,12.018072289156626,68.2606032083925,3734.5600000000004,3666.2993967916077,6.683046683046682,5371.032813171572
42800000000,WARMIŃSKO-MAZURSKIE,2017,46.5,116.5,73.9,16.5,26.0,67.39,673.9,8.224109589041097,925.1,1,29,0.3313253012048193,0.4014177007356887,1.034658511722732,29.6647680843674,17.07186544342508,8.614457831325302,55.35109135911778,3133.635,3078.2839086408826,6.292286874154262,5561.378887127956
11200000000,MAŁOPOLSKIE,2018,38.0,82.3,41.1,15.7,25.4,71.81,718.1,10.586575342465752,653.4,8,28,0.5401606425702812,0.45033311231094686,1.1531600407747198,18.508690915979916,18.1046126401631,13.720080321285142,50.33338387742816,2728.78,2678.446616122572,9.245742092457421,5321.411774430117
