rok,kategoria,nawóz,wojewodztwo,cena_pln_t,skladnik,cena_za_kg_czysty
2016,Nawozy azotowe,saletra amonowa,ŚLĄSKIE,130.0,N,0.38235294117647056
2016,Nawozy azotowe,saletra amonowa,ŚWIĘTOKRZYSKIE,125.0,N,0.3676470588235294
2016,Nawozy azotowe,saletra amonowa,WARMIŃSKO-MAZURSKIE,128.0,N,0.3764705882352941
2016,Nawozy azotowe,saletra amonowa,WIELKOPOLSKIE,137.0,N,0.40294117647058825
2016,Nawozy azotowe,saletra amonowa,ZACHODNIOPOMORSKIE,167.0,N,0.49117647058823527
2016,Nawozy azotowe,saletrzak,DOLNOŚLĄSKIE,109.0,N,0.4037037037037037
2016,Nawozy azotowe,saletrzak,KUJAWSKO-POMORSKIE,92.0,N,0.34074074074074073
2016,Nawozy azotowe,saletrzak,LUBELSKIE,115.0,N,0.42592592592592593
2016,Nawozy azotowe,saletrzak,LUBUSKIE,128.0,N,0.47407407407407404
2016,Nawozy azotowe,saletrzak,ŁÓDZKIE,130.0,N,0.48148148148148145
2016,Nawozy azotowe,saletrzak,MAŁOPOLSKIE,130.0,N,0.48148148148148145
2016,Nawozy azotowe,saletrzak,MAZOWIECKIE,134.0,N,0.4962962962962963
2016,Nawozy azotowe,saletrzak,OPOLSKIE,80.0,N,0.2962962962962963
2016,Nawozy azotowe,saletrzak,PODKARPACKIE,140.0,N,0.5185185185185185
2016,Nawozy azotowe,saletrzak,PODLASKIE,135.0,N,0.5
2016,Nawozy azotowe,saletrzak,POMORSKIE,112.0,N,0.4148148148148148
2016,Nawozy azotowe,saletrzak,ŚLĄSKIE,115.0,N,0.42592592592592593
2016,Nawozy azotowe,saletrzak,ŚWIĘTOKRZYSKIE,110.0,N,0.4074074074074074
2016,Nawozy azotowe,saletrzak,WARMIŃSKO-MAZURSKIE,128.0,N,0.47407407407407404
2016,Nawozy azotowe,saletrzak,WIELKOPOLSKIE,125.0,N,0.4629629629629629
2016,Nawozy azotowe,saletrzak,ZACHODNIOPOMORSKIE,137.0,N,0.5074074074074074
2016,Nawozy azotowe,mocznik,DOLNOŚLĄSKIE,139.0,N,0.3021739130434783
2016,Nawozy azotowe,mocznik,KUJAWSKO-POMORSKIE,123.0,N,0.2673913043478261
2016,Nawozy azotowe,mocznik,LUBELSKIE,136.0,N,0.2956521739130435
2016,Nawozy azotowe,mocznik,LUBUSKIE,131.0,N,0.2847826086956522
2016,Nawozy azotowe,mocznik,ŁÓDZKIE,163.0,N,0.35434782608695653
2016,Nawozy azotowe,mocznik,MAŁOPOLSKIE,180.0,N,0.3913043478260869
2016,Nawozy azotowe,mocznik,MAZOWIECKIE,178.0,N,0.3869565217391304
2016,Nawozy azotowe,mocznik,OPOLSKIE,100.0,N,0.21739130434782608
2016,Nawozy azotowe,mocznik,PODKARPACKIE,124.0,N,0.26956521739130435
2016,Nawozy azotowe,mocznik,PODLASKIE,148.0,N,0.3217391304347826
2016,Nawozy azotowe,mocznik,POMORSKIE,160.0,N,0.34782608695652173
2016,Nawozy azotowe,mocznik,ŚLĄSKIE,150.0,N,0.3260869565217391
2016,Nawozy azotowe,mocznik,ŚWIĘTOKRZYSKIE,148.0,N,0.3217391304347826
2016,Nawozy azotowe,mocznik,WARMIŃSKO-MAZURSKIE,148.0,N,0.3217391304347826
2016,Nawozy azotowe,mocznik,WIELKOPOLSKIE,149.0,N,0.32391304347826083
2016,Nawozy azotowe,mocznik,ZACHODNIOPOMORSKIE,180.0,N,0.3913043478260869
2016,Nawozy Fosforowe,superfosfat poj. gran,DOLNOŚLĄSKIE,81.0,P,1.0321100917431194
2016,Nawozy Fosforowe,superfosfat poj. gran,KUJAWSKO-POMORSKIE,76.0,P,0.9683995922528033
2016,Nawozy Fosforowe,superfosfat poj. gran,LUBELSKIE,85.0,P,1.0830784913353722
2016,Nawozy Fosforowe,superfosfat poj. gran,LUBUSKIE,75.0,P,0.9556574923547401
2016,Nawozy Fosforowe,superfosfat poj. gran,ŁÓDZKIE,90.0,P,1.146788990825688
2016,Nawozy Fosforowe,superfosfat poj. gran,MAŁOPOLSKIE,100.0,P,1.2742099898063202
2016,Nawozy Fosforowe,superfosfat poj. gran,MAZOWIECKIE,91.0,P,1.1595310907237513
2016,Nawozy Fosforowe,superfosfat poj. gran,OPOLSKIE,72.0,P,0.9174311926605505
2016,Nawozy Fosforowe,superfosfat poj. gran,PODKARPACKIE,89.0,P,1.134046890927625
2016,Nawozy Fosforowe,superfosfat poj. gran,PODLASKIE,89.0,P,1.134046890927625
2016,Nawozy Fosforowe,superfosfat poj. gran,POMORSKIE,82.0,P,1.0448521916411826
2016,Nawozy Fosforowe,superfosfat poj. gran,ŚLĄSKIE,81.0,P,1.0321100917431194
2016,Nawozy Fosforowe,superfosfat poj. gran,ŚWIĘTOKRZYSKIE,90.0,P,1.146788990825688
2016,Nawozy Fosforowe,superfosfat poj. gran,WIELKOPOLSKIE,103.0,P,1.3124362895005097
2016,Nawozy Fosforowe,superfosfat poj. gran,ZACHODNIOPOMORSKIE,123.0,P,1.567278287461774
2016,Nawozy Fosforowe,superfosfat wzb 40%,DOLNOŚLĄSKIE,150.0,P,0.8600917431192661
2016,Nawozy Fosforowe,superfosfat wzb 40%,KUJAWSKO-POMORSKIE,141.0,P,0.80848623853211
2016,Nawozy Fosforowe,superfosfat wzb 40%,LUBELSKIE,160.0,P,0.9174311926605505
